trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.5787416368926893,0.46,0.5353799559471366,0.5787416368926893,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.553478605634008,0.51,0.5172606219211823,0.553478605634008,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.6037699560602923,0.58,0.5598958333333334,0.6037699560602923,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.7908112936805117,0.63,0.7858875570776256,0.7908112936805117,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.7311385857396996,0.6,0.7129772167487685,0.7311385857396996,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
5,7242,0.5757086580009648,0.5,0.5326266519823789,0.5757086580009648,128,1,0.30791879435015207,False,0.00013683416522885754,2,32,11,128,3.003178873383061e-05
6,7242,0.5490300718684809,0.54,0.5075715859030837,0.5490300718684809,128,1,0.45433083846708233,True,0.003198838691931292,2,32,12,128,4.78982922844584e-05
7,7242,0.5638779902270195,0.55,0.5233304794520548,0.5638779902270195,256,2,0.31338835399560105,False,0.0013997736312299017,4,64,9,32,3.152146858847378e-05
8,7242,0.7240636157574767,0.59,0.701091609589041,0.7240636157574767,128,3,0.32605054158312186,True,0.0007451376549375596,1,64,9,64,0.0022291764931384015
9,7242,0.7869371334638124,0.51,0.7785175492610837,0.7869371334638124,64,2,0.108466076468862,True,0.00082609199251563,4,128,13,32,0.00010376177657048565
